,D_c,D_z_1,D_z_2
0,0.9314,1.4394,1.5826
1,1.8594,2.3404,2.483
2,2.763,3.2524,3.3968
3,3.6774,4.2064,4.3462
4,4.6234,5.146,5.2834
5,5.563,6.1014,6.2334
6,6.5154,7.072,7.202
7,7.4814,7.979,8.1198
8,8.399,8.909,9.0526
9,9.3334,9.8694,10.0038
10,10.287,10.7914,10.9304
11,11.2114,11.7474,11.8896
12,12.168,12.6974,12.8416
13,13.1214,13.6154,13.7568
14,14.0334,14.562,14.6994
15,14.982,15.494,15.6334
16,15.9164,16.417,16.5432
17,16.824,17.3454,17.4922
18,17.7784,18.304,18.4406
19,18.727,19.247,19.371
20,19.649,20.1894,20.3344
21,20.613,21.1244,21.2654
22,21.544,22.045,22.1918
23,22.4674,22.997,23.141
24,23.422,23.913,24.0552
25,24.3034,24.8344,24.9852
26,25.273,25.805,25.943
27,26.2264,26.701,26.8518
28,27.139,27.6534,27.7734
29,28.0404,28.566,28.7082
30,28.984,29.476,29.6186
31,29.898,30.3924,30.5356
32,30.8164,31.3044,31.4196
33,31.489,32.1614,32.2954
34,32.575,33.05,33.1874
35,33.4674,33.926,34.0596
36,34.337,34.787,34.9296
37,35.208,35.6864,35.8246
38,36.103,36.5604,36.7004
39,36.9774,37.46,37.6028
40,37.8804,38.3974,38.5364
41,38.816,39.2954,39.4208
42,39.7,40.1984,40.3312
43,40.6074,41.1154,41.2524
44,41.532,41.98,42.1186
45,42.397,42.8514,42.9934
46,43.271,43.7564,43.8996
47,44.1784,44.6464,44.7876
48,45.065,45.5484,45.6878
49,45.9664,46.4654,46.6064
50,46.8854,47.342,47.4804
51,47.758,48.2254,48.37
52,48.6504,49.1444,49.2876
53,49.5664,50.078,50.2194
54,50.4994,50.9934,51.1322
55,51.411,51.943,52.086
56,52.3654,52.901,53.042
57,53.3224,53.833,53.975
58,54.2514,54.7834,54.9284
59,55.2074,55.702,55.8436
60,56.122,56.617,56.758
61,57.036,57.5494,57.6872
62,57.966,58.4394,58.5784
63,58.856,59.3604,59.5024
64,59.7794,60.3134,60.454
65,60.7324,61.229,61.3702
66,61.649,62.171,62.313
67,62.589,63.159,63.2838
68,63.564,64.084,64.2098
69,64.4894,65.016,65.1572
70,65.436,65.982,66.1232
71,66.402,66.9174,67.0574
72,67.3364,67.8624,68.0072
73,68.286,68.8554,68.9744
74,69.254,69.762,69.9028
75,70.181,70.712,70.8556
76,71.134,71.6754,71.813
77,72.0914,72.597,72.7382
78,73.018,73.559,73.7004
79,73.9794,74.5094,74.6476
80,74.928,75.4184,75.5628
81,75.8434,76.357,76.5002
82,76.7794,77.284,77.4234
83,77.704,78.1744,78.3152
84,78.5934,79.096,79.2356
85,79.515,80.0144,80.1522
86,80.4324,80.907,81.0434
87,81.3224,81.806,81.9466
88,82.2224,82.6344,82.7672
89,83.041,83.4254,83.5554
90,83.83,84.244,84.389
91,84.6654,85.139,85.2736
92,85.552,86.0184,86.1564
93,86.4364,86.927,87.0678
94,87.3474,87.8594,87.9942
95,88.272,88.755,88.893
96,89.1704,89.6734,89.8068
97,90.088,90.584,90.7246
98,91.008,91.467,91.6068
99,91.8864,92.3784,92.5122
100,92.7884,93.2754,93.416
101,93.694,94.1454,94.2876
102,94.564,95.0394,95.1772
103,95.4554,95.943,96.0834
104,96.362,96.8224,96.9572
105,97.234,97.74,97.867
106,98.144,98.6864,98.822
107,99.1004,99.605,99.7356
108,100.0134,100.5264,100.6738
109,100.949,101.475,101.6142
110,101.8924,102.3934,102.5332
111,102.8094,103.34,103.4834
112,103.7634,104.2584,104.4002
113,104.6804,105.181,105.3226
114,105.5994,106.1204,106.2578
115,106.536,107.0284,107.1674
116,107.447,107.9434,108.0892
117,108.37,108.885,109.0254
118,109.302,109.794,109.9348
119,110.2134,110.73,110.8726
120,111.1544,111.673,111.811
121,112.093,112.577,112.7182
122,112.997,113.502,113.6456
123,113.928,114.4294,114.566
124,114.845,115.306,115.4442
125,115.72,116.2084,116.3492
126,116.6274,117.1094,117.2502
127,117.5304,117.973,118.1138
128,118.3924,118.8704,119.0082
129,119.285,119.7824,119.9158
130,120.196,120.6774,120.8146
131,121.0934,121.614,121.7578
132,122.0374,122.5604,122.6952
133,122.9764,123.455,123.5932
134,123.869,124.3744,124.5112
135,124.7864,125.3004,125.4342
136,125.7154,126.1844,126.3164
137,126.5944,127.074,127.2148
138,127.4914,127.979,128.1172
139,128.3964,128.8624,128.9948
140,129.2734,129.759,129.8948
141,130.1704,130.6414,130.7816
142,131.0574,131.4994,131.642
143,131.9174,132.393,132.5346
144,132.813,133.302,133.4396
145,133.715,134.1774,134.314
146,134.592,135.079,135.2182
147,135.494,135.997,136.1394
148,136.4144,136.885,137.0242
149,137.301,137.7824,137.9268
150,138.203,138.659,138.7964
151,139.074,139.489,139.6318
152,139.9074,140.343,140.4894
153,140.768,141.247,141.3884
154,141.6664,142.1284,142.2696
155,142.549,142.9604,143.1036
156,143.38,143.786,143.9288
157,144.202,144.572,144.7178
158,144.9904,145.3624,145.5046
159,145.7784,146.175,146.3178
160,146.593,147.0234,147.1614
161,147.437,147.9174,148.0592
162,148.3344,148.829,148.9744
163,149.2494,149.672,149.8472
164,150.1184,150.5914,150.7332
165,151.0114,151.4744,151.6106
166,151.888,152.31,152.4464
167,152.7224,153.1394,153.2848
168,153.561,153.9844,154.1268
169,154.4034,154.7904,154.9282
170,155.1984,155.5904,155.7254
171,155.996,156.407,156.5478
172,156.822,157.2404,157.378
173,157.6474,158.069,158.2066
174,158.48,158.976,159.117
175,159.3934,159.897,160.0394
176,160.3134,160.782,160.927
177,161.2024,161.7164,161.857
178,162.132,162.639,162.7796
179,163.056,163.5274,163.6648
180,163.941,164.43,164.574
181,164.8494,165.343,165.482
182,165.759,166.214,166.352
183,166.6284,167.1024,167.2488
184,167.5214,168.0144,168.157
185,168.4304,168.88,169.0208
186,169.2964,169.773,169.9098
187,170.189,170.682,170.8126
188,171.09,171.5424,171.6884
189,171.962,172.464,172.5952
190,172.8684,173.386,173.5296
191,173.8084,174.286,174.412
192,174.6924,175.1824,175.3158
193,175.5904,176.091,176.2336
194,176.5104,176.9834,177.121
195,177.3974,177.906,178.0432
196,178.32,178.832,178.9756
197,179.2524,179.73,179.867
198,180.1454,180.641,180.785
199,181.0614,181.593,181.731
200,182.008,182.5014,182.6434
201,182.921,183.4364,183.581
202,183.857,184.395,184.5352
203,184.8114,185.31,185.4486
204,185.723,186.24,186.3752
205,186.6534,187.1784,187.319
206,187.5954,188.0904,188.231
207,188.5104,189.045,189.1868
208,189.462,190.0174,190.1574
209,190.437,190.954,191.0968
210,191.375,191.9304,192.0642
211,192.3414,192.902,193.0434
212,193.3184,193.847,193.9846
213,194.258,194.82,194.9512
214,195.229,195.748,195.8964
215,196.176,196.6264,196.7968
216,197.0774,197.574,197.7124
217,197.9914,198.511,198.6494
218,198.9294,199.4114,199.5466
219,199.8274,200.324,200.4688
220,200.746,201.278,201.4212
221,201.702,202.2304,202.3656
222,202.643,203.1734,203.3086
223,203.5864,204.13,204.2572
224,204.5374,205.0284,205.1654
225,205.446,205.927,206.0758
226,206.357,206.866,207.0018
227,207.2784,207.761,207.898
228,208.18,208.6434,208.784
229,209.0614,209.5704,209.7094
230,209.988,210.4884,210.6302
231,210.9084,211.391,211.5272
232,211.8044,212.308,212.4502
233,212.728,213.222,213.3618
234,213.6324,214.0984,214.2314
235,214.511,214.9714,215.1146
236,215.3904,215.8804,216.0108
237,216.289,216.753,216.8914
238,217.1674,217.6704,217.8072
239,218.087,218.6224,218.7634
240,219.0424,219.5524,219.69
241,219.9694,220.4874,220.631
242,220.908,221.438,221.5786
243,221.858,222.341,222.4822
244,222.7574,223.2404,223.3892
245,223.6654,224.175,224.3104
246,224.5874,225.0544,225.192
247,225.4694,225.949,226.0868
248,226.3644,226.858,226.9982
249,227.2744,227.774,227.8988
250,228.175,228.6734,228.8076
251,229.085,229.647,229.7832
252,230.0624,230.592,230.7304
253,231.0084,231.5164,231.6554
254,231.936,232.4954,232.6304
255,232.912,233.4564,233.596
256,233.877,234.382,234.5168
257,234.7964,235.32,235.4616
258,235.7414,236.26,236.3976
259,236.6784,237.163,237.3044
260,237.5824,238.0954,238.2402
261,238.5174,239.047,239.1876
262,239.467,239.969,240.1068
263,240.3854,240.918,241.0574
264,241.3404,241.872,242.0102
265,242.292,242.7984,242.9372
266,243.2164,243.74,243.8824
267,244.1604,244.681,244.8258
268,245.106,245.5814,245.7198
269,245.998,246.4544,246.6232
270,246.901,247.4004,247.5466
271,247.823,248.323,248.4632
272,248.7434,249.239,249.3808
273,249.6584,250.1724,250.3066
274,250.586,251.076,251.2042
275,251.484,251.97,252.113
276,252.388,252.9024,253.0394
277,253.3154,253.791,253.935
278,254.211,254.699,254.8422
279,255.1214,255.6124,255.7578
280,256.039,256.4954,256.632
281,256.911,257.397,257.5272
282,257.807,258.3004,258.441
283,258.7204,259.209,259.3492
284,259.6274,260.094,260.2342
285,260.515,261.0114,261.1512
286,261.432,261.916,262.0532
287,262.33,262.78,262.9262
288,263.2034,263.698,263.837
289,264.1164,264.6374,264.764
290,265.0474,265.5214,265.6614
291,265.9434,266.413,266.555
292,266.831,267.3334,267.4714
293,267.75,268.237,268.3736
294,268.6534,269.1034,269.243
295,269.5214,270.0164,270.1616
296,270.4424,270.9484,271.0926
297,271.3714,,
